date,jobcountry,indeed_job_postings_index,variable,display_name
2020-05-05,US,48.18,new postings,Data & Analytics
2020-05-06,US,59.77,total postings,Data & Analytics
2020-05-06,US,47.59,new postings,Data & Analytics
2020-05-07,US,59.52,total postings,Data & Analytics
2020-05-07,US,46.48,new postings,Data & Analytics
2020-05-08,US,59.19,total postings,Data & Analytics
2020-05-08,US,45.45,new postings,Data & Analytics
2020-05-09,US,58.98,total postings,Data & Analytics
2020-05-09,US,45.34,new postings,Data & Analytics
2020-05-10,US,58.9,total postings,Data & Analytics
2020-05-10,US,45.82,new postings,Data & Analytics
2020-05-11,US,58.72,total postings,Data & Analytics
2020-05-11,US,45.35,new postings,Data & Analytics
2020-05-12,US,58.48,total postings,Data & Analytics
2020-05-12,US,45.22,new postings,Data & Analytics
2020-05-13,US,57.88,total postings,Data & Analytics
2020-05-13,US,44.45,new postings,Data & Analytics
2020-05-14,US,57.43,total postings,Data & Analytics
2020-05-14,US,44.27,new postings,Data & Analytics
2020-05-15,US,57.34,total postings,Data & Analytics
2020-05-15,US,44.83,new postings,Data & Analytics
2020-05-16,US,57.0,total postings,Data & Analytics
2020-05-16,US,45.04,new postings,Data & Analytics
2020-05-17,US,56.69,total postings,Data & Analytics
2020-05-17,US,44.81,new postings,Data & Analytics
2020-05-18,US,56.48,total postings,Data & Analytics
2020-05-18,US,45.15,new postings,Data & Analytics
2020-05-19,US,56.32,total postings,Data & Analytics
2020-05-19,US,45.41,new postings,Data & Analytics
2020-05-20,US,56.55,total postings,Data & Analytics
2020-05-20,US,45.96,new postings,Data & Analytics
2020-05-21,US,56.75,total postings,Data & Analytics
2020-05-21,US,46.34,new postings,Data & Analytics
2020-05-22,US,56.72,total postings,Data & Analytics
2020-05-22,US,46.52,new postings,Data & Analytics
2020-05-23,US,56.77,total postings,Data & Analytics
2020-05-23,US,46.88,new postings,Data & Analytics
2020-05-24,US,56.65,total postings,Data & Analytics
2020-05-24,US,47.43,new postings,Data & Analytics
2020-05-25,US,56.37,total postings,Data & Analytics
2020-05-25,US,47.76,new postings,Data & Analytics
2020-05-26,US,56.11,total postings,Data & Analytics
2020-05-26,US,47.09,new postings,Data & Analytics
2020-05-27,US,55.8,total postings,Data & Analytics
2020-05-27,US,46.94,new postings,Data & Analytics
2020-05-28,US,55.42,total postings,Data & Analytics
2020-05-28,US,47.18,new postings,Data & Analytics
2020-05-29,US,55.13,total postings,Data & Analytics
2020-05-29,US,47.4,new postings,Data & Analytics
2020-05-30,US,55.31,total postings,Data & Analytics
2020-05-30,US,47.41,new postings,Data & Analytics
2020-05-31,US,55.27,total postings,Data & Analytics
2020-05-31,US,48.3,new postings,Data & Analytics
2020-06-01,US,55.37,total postings,Data & Analytics
2020-06-01,US,49.12,new postings,Data & Analytics
2020-06-02,US,55.52,total postings,Data & Analytics
2020-06-02,US,51.97,new postings,Data & Analytics
2020-06-03,US,55.74,total postings,Data & Analytics
2020-06-03,US,54.51,new postings,Data & Analytics
2020-06-04,US,55.85,total postings,Data & Analytics
2020-06-04,US,55.54,new postings,Data & Analytics
2020-06-05,US,55.99,total postings,Data & Analytics
2020-06-05,US,56.07,new postings,Data & Analytics
2020-06-06,US,55.95,total postings,Data & Analytics
2020-06-06,US,56.47,new postings,Data & Analytics
2020-06-07,US,56.18,total postings,Data & Analytics
2020-06-07,US,55.96,new postings,Data & Analytics
2020-06-08,US,56.34,total postings,Data & Analytics
2020-06-08,US,55.27,new postings,Data & Analytics
2020-06-09,US,56.44,total postings,Data & Analytics
2020-06-09,US,53.63,new postings,Data & Analytics
2020-06-10,US,56.58,total postings,Data & Analytics
2020-06-10,US,52.07,new postings,Data & Analytics
2020-06-11,US,56.83,total postings,Data & Analytics
2020-06-11,US,51.59,new postings,Data & Analytics
2020-06-12,US,57.0,total postings,Data & Analytics
2020-06-12,US,51.73,new postings,Data & Analytics
2020-06-13,US,56.89,total postings,Data & Analytics
2020-06-13,US,51.76,new postings,Data & Analytics
2020-06-14,US,56.98,total postings,Data & Analytics
2020-06-14,US,51.76,new postings,Data & Analytics
2020-06-15,US,57.13,total postings,Data & Analytics
2020-06-15,US,51.59,new postings,Data & Analytics
2020-06-16,US,57.18,total postings,Data & Analytics
2020-06-16,US,50.94,new postings,Data & Analytics
2020-06-17,US,57.15,total postings,Data & Analytics
2020-06-17,US,50.51,new postings,Data & Analytics
2020-06-18,US,57.15,total postings,Data & Analytics
2020-06-18,US,49.85,new postings,Data & Analytics
2020-06-19,US,57.07,total postings,Data & Analytics
2020-06-19,US,49.22,new postings,Data & Analytics
2020-06-20,US,57.29,total postings,Data & Analytics
2020-06-20,US,50.34,new postings,Data & Analytics
2020-06-21,US,57.4,total postings,Data & Analytics
2020-06-21,US,50.69,new postings,Data & Analytics
2020-06-22,US,57.34,total postings,Data & Analytics
2020-06-22,US,51.84,new postings,Data & Analytics
2020-06-23,US,57.42,total postings,Data & Analytics
2020-06-23,US,53.35,new postings,Data & Analytics
2020-06-24,US,57.44,total postings,Data & Analytics
2020-06-24,US,54.41,new postings,Data & Analytics
2020-06-25,US,57.49,total postings,Data & Analytics
2020-06-25,US,55.48,new postings,Data & Analytics
2020-06-26,US,57.56,total postings,Data & Analytics
2020-06-26,US,56.48,new postings,Data & Analytics
2020-06-27,US,57.67,total postings,Data & Analytics
2020-06-27,US,55.81,new postings,Data & Analytics
2020-06-28,US,57.73,total postings,Data & Analytics
2020-06-28,US,56.08,new postings,Data & Analytics
2020-06-29,US,57.86,total postings,Data & Analytics
2020-06-29,US,56.65,new postings,Data & Analytics
2020-06-30,US,58.03,total postings,Data & Analytics
2020-06-30,US,57.06,new postings,Data & Analytics
2020-07-01,US,58.26,total postings,Data & Analytics
2020-07-01,US,57.72,new postings,Data & Analytics
2020-07-02,US,58.48,total postings,Data & Analytics
2020-07-02,US,58.43,new postings,Data & Analytics
2020-07-03,US,58.64,total postings,Data & Analytics
2020-07-03,US,58.62,new postings,Data & Analytics
2020-07-04,US,58.7,total postings,Data & Analytics
2020-07-04,US,58.18,new postings,Data & Analytics
2020-07-05,US,58.8,total postings,Data & Analytics
2020-07-05,US,59.51,new postings,Data & Analytics
2020-07-06,US,58.89,total postings,Data & Analytics
2020-07-06,US,61.26,new postings,Data & Analytics
2020-07-07,US,58.96,total postings,Data & Analytics
2020-07-07,US,63.29,new postings,Data & Analytics
2020-07-08,US,59.11,total postings,Data & Analytics
2020-07-08,US,65.04,new postings,Data & Analytics
2020-07-09,US,59.26,total postings,Data & Analytics
2020-07-09,US,66.2,new postings,Data & Analytics
2020-07-10,US,59.5,total postings,Data & Analytics
2020-07-10,US,68.35,new postings,Data & Analytics
2020-07-11,US,59.74,total postings,Data & Analytics
2020-07-11,US,71.89,new postings,Data & Analytics
2020-07-12,US,59.94,total postings,Data & Analytics
2020-07-12,US,71.9,new postings,Data & Analytics
2020-07-13,US,60.21,total postings,Data & Analytics
2020-07-13,US,70.05,new postings,Data & Analytics
2020-07-14,US,60.47,total postings,Data & Analytics
2020-07-14,US,68.17,new postings,Data & Analytics
2020-07-15,US,60.66,total postings,Data & Analytics
2020-07-15,US,66.32,new postings,Data & Analytics
2020-07-16,US,60.74,total postings,Data & Analytics
2020-07-16,US,64.76,new postings,Data & Analytics
2020-07-17,US,60.81,total postings,Data & Analytics
2020-07-17,US,62.75,new postings,Data & Analytics
2020-07-18,US,60.63,total postings,Data & Analytics
2020-07-18,US,60.38,new postings,Data & Analytics
2020-07-19,US,60.77,total postings,Data & Analytics
2020-07-19,US,60.24,new postings,Data & Analytics
2020-07-20,US,60.94,total postings,Data & Analytics
2020-07-20,US,60.93,new postings,Data & Analytics
2020-07-21,US,61.06,total postings,Data & Analytics
2020-07-21,US,61.17,new postings,Data & Analytics
2020-07-22,US,61.15,total postings,Data & Analytics
2020-07-22,US,61.42,new postings,Data & Analytics
2020-07-23,US,61.32,total postings,Data & Analytics
2020-07-23,US,61.62,new postings,Data & Analytics
2020-07-24,US,61.49,total postings,Data & Analytics
2020-07-24,US,61.18,new postings,Data & Analytics
2020-07-25,US,61.88,total postings,Data & Analytics
2020-07-25,US,60.66,new postings,Data & Analytics
2020-07-26,US,61.94,total postings,Data & Analytics
2020-07-26,US,59.48,new postings,Data & Analytics
2020-07-27,US,61.88,total postings,Data & Analytics
2020-07-27,US,58.34,new postings,Data & Analytics
2020-07-28,US,61.91,total postings,Data & Analytics
2020-07-28,US,57.93,new postings,Data & Analytics
2020-07-29,US,61.85,total postings,Data & Analytics
2020-07-29,US,58.02,new postings,Data & Analytics
2020-07-30,US,61.79,total postings,Data & Analytics
2020-07-30,US,58.91,new postings,Data & Analytics
2020-07-31,US,61.7,total postings,Data & Analytics
2020-07-31,US,59.77,new postings,Data & Analytics
2020-08-01,US,61.79,total postings,Data & Analytics
2020-08-01,US,60.82,new postings,Data & Analytics
2020-08-02,US,61.83,total postings,Data & Analytics
2020-08-02,US,61.99,new postings,Data & Analytics
2020-08-03,US,61.92,total postings,Data & Analytics
2020-08-03,US,63.28,new postings,Data & Analytics
2020-08-04,US,61.91,total postings,Data & Analytics
2020-08-04,US,63.93,new postings,Data & Analytics
2020-08-05,US,61.84,total postings,Data & Analytics
2020-08-05,US,64.26,new postings,Data & Analytics
2020-08-06,US,61.78,total postings,Data & Analytics
2020-08-06,US,64.21,new postings,Data & Analytics
2020-08-07,US,61.68,total postings,Data & Analytics
2020-08-07,US,64.6,new postings,Data & Analytics
2020-08-08,US,61.5,total postings,Data & Analytics
2020-08-08,US,65.23,new postings,Data & Analytics
2020-08-09,US,61.42,total postings,Data & Analytics
2020-08-09,US,66.39,new postings,Data & Analytics
