date,jobcountry,indeed_job_postings_index,variable,display_name
2020-04-26,DE,62.11,new postings,Data & Analytics
2020-04-26,DE,76.81,total postings,Data & Analytics
2020-04-27,DE,62.37,new postings,Data & Analytics
2020-04-27,DE,76.73,total postings,Data & Analytics
2020-04-28,DE,60.78,new postings,Data & Analytics
2020-04-28,DE,76.54,total postings,Data & Analytics
2020-04-29,DE,59.06,new postings,Data & Analytics
2020-04-29,DE,76.58,total postings,Data & Analytics
2020-04-30,DE,57.97,new postings,Data & Analytics
2020-04-30,DE,76.52,total postings,Data & Analytics
2020-05-01,DE,57.45,new postings,Data & Analytics
2020-05-01,DE,76.4,total postings,Data & Analytics
2020-05-02,DE,57.17,new postings,Data & Analytics
2020-05-02,DE,76.25,total postings,Data & Analytics
2020-05-03,DE,56.3,new postings,Data & Analytics
2020-05-03,DE,75.99,total postings,Data & Analytics
2020-05-04,DE,56.0,new postings,Data & Analytics
2020-05-04,DE,75.69,total postings,Data & Analytics
2020-05-05,DE,57.24,new postings,Data & Analytics
2020-05-05,DE,75.63,total postings,Data & Analytics
2020-05-06,DE,56.21,new postings,Data & Analytics
2020-05-06,DE,75.52,total postings,Data & Analytics
2020-05-07,DE,55.28,new postings,Data & Analytics
2020-05-07,DE,75.47,total postings,Data & Analytics
2020-05-08,DE,54.1,new postings,Data & Analytics
2020-05-08,DE,75.5,total postings,Data & Analytics
2020-05-09,DE,51.33,new postings,Data & Analytics
2020-05-09,DE,75.34,total postings,Data & Analytics
2020-05-10,DE,48.63,new postings,Data & Analytics
2020-05-10,DE,75.24,total postings,Data & Analytics
2020-05-11,DE,47.01,new postings,Data & Analytics
2020-05-11,DE,75.06,total postings,Data & Analytics
2020-05-12,DE,45.24,new postings,Data & Analytics
2020-05-12,DE,74.61,total postings,Data & Analytics
2020-05-13,DE,45.36,new postings,Data & Analytics
2020-05-13,DE,74.22,total postings,Data & Analytics
2020-05-14,DE,45.87,new postings,Data & Analytics
2020-05-14,DE,73.8,total postings,Data & Analytics
2020-05-15,DE,48.23,new postings,Data & Analytics
2020-05-15,DE,73.44,total postings,Data & Analytics
2020-05-16,DE,52.61,new postings,Data & Analytics
2020-05-16,DE,73.16,total postings,Data & Analytics
